"date","currency","rate"
"2018-06-04",606,"0.7514"
"2018-06-04",608,"7.8453"
"2018-06-05",600,"1"
"2018-06-05",601,"0.852"
"2018-06-05",602,"61.909"
"2018-06-05",604,"0.9837"
"2018-06-05",605,"109.4317"
"2018-06-05",606,"0.747"
"2018-06-05",608,"7.8462"
"2018-06-06",600,"1"
"2018-06-06",601,"0.8565"
"2018-06-06",602,"62.3692"
"2018-06-06",604,"0.9863"
"2018-06-06",605,"109.7045"
"2018-06-06",606,"0.7485"
"2018-06-06",608,"7.8468"
"2018-06-07",600,"1"
"2018-06-07",601,"0.85"
"2018-06-07",602,"61.9928"
"2018-06-07",604,"0.9884"
"2018-06-07",605,"110.1317"
"2018-06-07",606,"0.7453"
"2018-06-07",608,"7.8477"
"2018-06-08",600,"1"
"2018-06-08",601,"0.8449"
"2018-06-08",602,"61.937"
"2018-06-08",604,"0.9812"
"2018-06-08",605,"110.0541"
"2018-06-08",606,"0.7445"
"2018-06-08",608,"7.8462"
"2018-06-09",600,"1"
"2018-06-09",601,"0.8508"
"2018-06-09",602,"62.5126"
"2018-06-09",604,"0.9845"
"2018-06-09",605,"109.4436"
"2018-06-09",606,"0.7464"
"2018-06-09",608,"7.846"
"2018-06-11",600,"1"
"2018-06-11",601,"0.8508"
"2018-06-11",602,"62.5126"
"2018-06-11",604,"0.9845"
"2018-06-11",605,"109.4436"
"2018-06-11",606,"0.7464"
"2018-06-11",608,"7.846"
"2018-06-12",600,"1"
"2018-06-12",601,"0.8482"
"2018-06-12",602,"62.5872"
"2018-06-12",604,"0.9865"
"2018-06-12",605,"109.9406"
"2018-06-12",606,"0.7479"
"2018-06-12",608,"7.8463"
"2018-06-13",600,"1"
"2018-06-13",601,"0.8483"
"2018-06-13",602,"62.7733"
"2018-06-13",604,"0.9853"
"2018-06-13",605,"110.3071"
"2018-06-13",606,"0.748"
"2018-06-13",608,"7.8469"
"2018-06-14",600,"1"
"2018-06-14",601,"0.8501"
"2018-06-14",602,"62.7581"
"2018-06-14",604,"0.9874"
"2018-06-14",605,"110.5321"
"2018-06-14",606,"0.7498"
"2018-06-14",608,"7.8481"
"2018-06-15",600,"1"
"2018-06-15",601,"0.8525"
"2018-06-15",602,"62.025"
"2018-06-15",604,"0.9876"
"2018-06-15",605,"110.1023"
"2018-06-15",606,"0.7475"
"2018-06-15",608,"7.8481"
"2018-06-16",600,"1"
"2018-06-16",601,"0.8624"
"2018-06-16",602,"62.5561"
"2018-06-16",604,"0.9982"
"2018-06-16",605,"110.6502"
"2018-06-16",606,"0.753"
"2018-06-16",608,"7.8493"
"2018-06-17",600,"1"
"2018-06-17",601,"0.8624"
"2018-06-17",602,"62.5561"
"2018-06-17",604,"0.9982"
"2018-06-17",605,"110.6502"
"2018-06-17",606,"0.753"
"2018-06-17",608,"7.8493"
"2018-06-18",600,"1"
"2018-06-18",601,"0.8624"
"2018-06-18",602,"62.5561"
"2018-06-18",604,"0.9982"
"2018-06-18",605,"110.6502"
"2018-06-18",606,"0.753"
"2018-06-18",608,"7.8493"
"2018-06-19",600,"1"
"2018-06-19",601,"0.8611"
"2018-06-19",602,"63.2575"
"2018-06-19",604,"0.9949"
"2018-06-19",605,"110.4538"
"2018-06-19",606,"0.7548"
"2018-06-19",608,"7.8495"
"2018-06-20",600,"1"
"2018-06-20",601,"0.867"
"2018-06-20",602,"63.9891"
"2018-06-20",604,"0.9971"
"2018-06-20",605,"109.9185"
"2018-06-20",606,"0.7603"
"2018-06-20",608,"7.8493"
"2018-06-21",600,"1"
"2018-06-21",601,"0.8637"
"2018-06-21",602,"63.5883"
"2018-06-21",604,"0.9965"
"2018-06-21",605,"110.0276"
"2018-06-21",606,"0.759"
"2018-06-21",608,"7.8465"
"2018-06-22",600,"1"
"2018-06-22",601,"0.8667"
"2018-06-22",602,"63.7526"
"2018-06-22",604,"0.9964"
"2018-06-22",605,"110.5824"
"2018-06-22",606,"0.7572"
"2018-06-22",608,"7.8461"
"2018-06-23",600,"1"
"2018-06-23",601,"0.8585"
"2018-06-23",602,"63.1279"
